| info_type    | info                                    |
| ------------ | --------------------------------------- |
| Columns      | cards - arena_id (bigint)               |
| Columns      | cards - artist (text)                   |
| Columns      | cards - artist_ids (jsonb)              |
| Columns      | cards - booster (boolean)               |
| Columns      | cards - border_color (text)             |
| Columns      | cards - card_back_id (text)             |
| Columns      | cards - cmc (double precision)          |
| Columns      | cards - collector_number (text)         |
| Columns      | cards - color_identity (jsonb)          |
| Columns      | cards - colors (jsonb)                  |
| Columns      | cards - digital (boolean)               |
| Columns      | cards - finishes (jsonb)                |
| Columns      | cards - foil (boolean)                  |
| Columns      | cards - frame (text)                    |
| Columns      | cards - full_art (boolean)              |
| Columns      | cards - games (jsonb)                   |
| Columns      | cards - highres_image (boolean)         |
| Columns      | cards - id (text)                       |
| Columns      | cards - illustration_id (text)          |
| Columns      | cards - image_status (text)             |
| Columns      | cards - image_uris (jsonb)              |
| Columns      | cards - keywords (jsonb)                |
| Columns      | cards - lang (text)                     |
| Columns      | cards - layout (text)                   |
| Columns      | cards - legalities (jsonb)              |
| Columns      | cards - mana_cost (text)                |
| Columns      | cards - mtgo_id (bigint)                |
| Columns      | cards - multiverse_ids (text)           |
| Columns      | cards - name (text)                     |
| Columns      | cards - nonfoil (boolean)               |
| Columns      | cards - oracle_id (text)                |
| Columns      | cards - oracle_text (text)              |
| Columns      | cards - oversized (boolean)             |
| Columns      | cards - prices (jsonb)                  |
| Columns      | cards - produced_mana (jsonb)           |
| Columns      | cards - promo (boolean)                 |
| Columns      | cards - purchase_uris (text)            |
| Columns      | cards - rarity (text)                   |
| Columns      | cards - related_uris (jsonb)            |
| Columns      | cards - released_at (text)              |
| Columns      | cards - reprint (boolean)               |
| Columns      | cards - reserved (boolean)              |
| Columns      | cards - scryfall_uri (text)             |
| Columns      | cards - set_code (text)                 |
| Columns      | cards - set_name (text)                 |
| Columns      | cards - story_spotlight (boolean)       |
| Columns      | cards - tcgplayer_id (bigint)           |
| Columns      | cards - textless (boolean)              |
| Columns      | cards - type_line (text)                |
| Columns      | cards - uri (text)                      |
| Columns      | cards - variation (boolean)             |
| Columns      | collections - card_id (text)            |
| Columns      | collections - id (bigint)               |
| Columns      | collections - quantity_foil (bigint)    |
| Columns      | collections - quantity_regular (bigint) |
| Columns      | kiosk - card_id (text)                  |
| Columns      | kiosk - id (bigint)                     |
| Columns      | kiosk - quantity_foil (bigint)          |
| Columns      | kiosk - quantity_regular (bigint)       |
| Columns      | sets - card_count (bigint)              |
| Columns      | sets - code (text)                      |
| Columns      | sets - digital (boolean)                |
| Columns      | sets - foil_only (boolean)              |
| Columns      | sets - icon_svg_uri (text)              |
| Columns      | sets - id (text)                        |
| Columns      | sets - name (text)                      |
| Columns      | sets - released_at (text)               |
| Columns      | sets - set_type (text)                  |
| Primary Keys | cards - id                              |
| Tables       | cards                                   |
| Tables       | collections                             |
| Tables       | kiosk                                   |
| Tables       | sets                                    |
