Name,Edition,Edition code,Collector's number,Price,Foil,Currency,Scryfall ID,Quantity
"Thornspire Verge","Duskmourn: House of Horror","DSK","270","$5.33","Foil","USD","7e1cdc03-6faa-4138-9a52-caafbe34fb59","2"
"Peer Past the Veil","Duskmourn: House of Horror","DSK","226","$0.85","Foil","USD","874eadb6-602e-47dc-8094-82e37ac89c94","1"
"Doomsday Excruciator","Duskmourn: House of Horror","DSK","94","$3.98","Foil","USD","542c89b6-48c6-4fcb-8a4c-b5ed2fa1d384","2"
"Marvin, Murderous Mimic","Duskmourn: House of Horror","DSK","367","$11.02","Foil","USD","ed4f107a-ce90-464c-8be0-eb6c1db0f80f","3"
"Kona, Rescue Beastie","Duskmourn: House of Horror","DSK","358","$7.49","Foil","USD","bf256f95-d184-4ea9-9039-fc64f461d9b3","4"
"Doomsday Excruciator","Duskmourn: House of Horror","DSK","346","$15.77","Foil","USD","50f9cecb-0ff7-4837-a8c5-4af394834e2c","2"
"Ghost Vacuum","Duskmourn: House of Horror","DSK","326","$5.88","Foil","USD","abf254c0-7c3c-4b68-8b3e-4ae444baa886","2"
"The Tale of Tamiyo","Duskmourn: House of Horror","DSK","75","$0.93","","USD","aaeba193-05d3-4c2d-a304-bbe7114c2eef","2"
"Leyline of the Void","Duskmourn: House of Horror","DSK","106","$0.63","","USD","aeaa3aff-608d-4723-bb7c-8daedebe9f36","1"
"Hauntwoods Shrieker","Duskmourn: House of Horror","DSK","349","$4.98","","USD","0c6148f7-01cb-4789-87a6-53d741f44ec2","2"
"Ghost Vacuum","Duskmourn: House of Horror","DSK","326","$1.15","","USD","abf254c0-7c3c-4b68-8b3e-4ae444baa886","1"
"Dazzling Theater // Prop Room","Duskmourn: House of Horror","DSK","334","$2.25","","USD","988219dd-1b39-4c46-a3e3-844ca38e6e26","2"
"Leyline of Mutation","Duskmourn: House of Horror","DSK","188","$1.33","","USD","2359b670-41f0-4ec7-8db9-3f87f7577bc3","1"
"Niko, Light of Hope","Duskmourn: House of Horror","DSK","224","$1.18","","USD","91ad013f-de8d-4980-b4b6-c7f91ff495b1","1"
"The Swarmweaver","Duskmourn: House of Horror","DSK","363","$3.74","Foil","USD","f4542e4f-2fb7-4036-aefc-291f5c010ca8","1"
"The Mindskinner","Duskmourn: House of Horror","DSK","357","$2.86","Foil","USD","3130a342-3c98-4c69-975b-a958ccddfe37","3"
"Unholy Annex // Ritual Chamber","Duskmourn: House of Horror","DSK","339","$1.98","","USD","681caa94-e95e-47f0-8305-eca0ed55cb5e","3"
"Unstoppable Slasher","Duskmourn: House of Horror","DSK","312","$3.74","","USD","0a30a301-8e87-46e7-89aa-cd55b1a14420","2"
"Enduring Vitality","Duskmourn: House of Horror","DSK","381","$3.11","","USD","400eaca3-d7ee-4334-bade-1b05f3591417","2"
"Leyline of the Void","Duskmourn: House of Horror","DSK","376","$0.62","","USD","b30a559e-79f9-479e-8ef1-65fb91b9507d","2"
"Demonic Counsel","Duskmourn: House of Horror","DSK","310","$3.89","","USD","fa9defeb-d28e-451e-9333-914394231fbb","3"
"Winter, Misanthropic Guide","Duskmourn: House of Horror","DSK","365","$1.04","Foil","USD","7cf9f742-a662-46b3-84e1-1609177d0c8a","3"
"Dissection Tools","Duskmourn: House of Horror","DSK","385","$0.43","","USD","0a376a56-7385-4d64-bbaa-952218531a76","2"
"Valgavoth's Onslaught","Duskmourn: House of Horror","DSK","324","$0.78","","USD","3518fbe6-5640-4aca-a2fd-e83c82d2e2fd","2"
"Doomsday Excruciator","Duskmourn: House of Horror","DSK","346","$2.40","","USD","50f9cecb-0ff7-4837-a8c5-4af394834e2c","2"
"Victor, Valgavoth's Seneschal","Duskmourn: House of Horror","DSK","364","$1.54","Foil","USD","1db4440e-0107-434d-9d8e-77a11bc0245a","2"
"Rip, Spawn Hunter","Duskmourn: House of Horror","DSK","362","$1.97","Foil","USD","1ce8da0e-7822-4e8b-b073-5d4edcb38c59","4"
"Roaring Furnace // Steaming Sauna","Duskmourn: House of Horror","DSK","343","$0.86","","USD","fe8e3d06-ae97-4f92-a379-b54e183e2aa0","2"
"Overlord of the Balemurk","Duskmourn: House of Horror","DSK","377","$6.11","","USD","6da8e15d-033e-41ab-9f95-656a5737bdac","1"
