Name,Edition,Edition code,Collector's number,Price,Foil,Currency,Scryfall ID,Quantity
Thornspire Verge,Duskmourn: House of Horror,DSK,270,$5.33,true,USD,7e1cdc03-6faa-4138-9a52-caafbe34fb59,1
Peer Past the Veil,Duskmourn: House of Horror,DSK,226,$0.85,true,USD,874eadb6-602e-47dc-8094-82e37ac89c94,1
Doomsday Excruciator,Duskmourn: House of Horror,DSK,94,$3.98,true,USD,542c89b6-48c6-4fcb-8a4c-b5ed2fa1d384,1
"Marvin, Murderous Mimic",Duskmourn: House of Horror,DSK,367,$11.02,true,USD,ed4f107a-ce90-464c-8be0-eb6c1db0f80f,2
"Kona, Rescue Beastie",Duskmourn: House of Horror,DSK,358,$7.49,true,USD,bf256f95-d184-4ea9-9039-fc64f461d9b3,2
Doomsday Excruciator,Duskmourn: House of Horror,DSK,346,$15.77,true,USD,50f9cecb-0ff7-4837-a8c5-4af394834e2c,1
Ghost Vacuum,Duskmourn: House of Horror,DSK,326,$5.88,true,USD,abf254c0-7c3c-4b68-8b3e-4ae444baa886,1
Leyline of the Void,Duskmourn: House of Horror,DSK,106,$0.63,false,USD,aeaa3aff-608d-4723-bb7c-8daedebe9f36,1
Ghost Vacuum,Duskmourn: House of Horror,DSK,326,$1.15,false,USD,abf254c0-7c3c-4b68-8b3e-4ae444baa886,1
The Swarmweaver,Duskmourn: House of Horror,DSK,363,$3.74,true,USD,f4542e4f-2fb7-4036-aefc-291f5c010ca8,1
The Mindskinner,Duskmourn: House of Horror,DSK,357,$2.86,true,USD,3130a342-3c98-4c69-975b-a958ccddfe37,1
Leyline of the Void,Duskmourn: House of Horror,DSK,376,$0.62,false,USD,b30a559e-79f9-479e-8ef1-65fb91b9507d,1
"Winter, Misanthropic Guide",Duskmourn: House of Horror,DSK,365,$1.04,true,USD,7cf9f742-a662-46b3-84e1-1609177d0c8a,1
Valgavoth's Onslaught,Duskmourn: House of Horror,DSK,324,$0.78,false,USD,3518fbe6-5640-4aca-a2fd-e83c82d2e2fd,1
Doomsday Excruciator,Duskmourn: House of Horror,DSK,346,$2.40,false,USD,50f9cecb-0ff7-4837-a8c5-4af394834e2c,2
"Victor, Valgavoth's Seneschal",Duskmourn: House of Horror,DSK,364,$1.54,true,USD,1db4440e-0107-434d-9d8e-77a11bc0245a,1
"Rip, Spawn Hunter",Duskmourn: House of Horror,DSK,362,$1.97,true,USD,1ce8da0e-7822-4e8b-b073-5d4edcb38c59,2
"Nashi, Searcher in the Dark",Duskmourn: House of Horror,DSK,361,$2.81,true,USD,44aa4f0c-7b2b-44cc-a59f-95f276b25898,1
Cursed Recording,Duskmourn: House of Horror,DSK,315,$0.79,false,USD,5aacedd1-de6b-4485-891e-0283ef33f3d4,2
Marina Vendrell,Duskmourn: House of Horror,DSK,360,$4.00,true,USD,f6424845-7e9b-4514-93aa-1cf6c45f634c,1
"Zimone, All-Questioning",Duskmourn: House of Horror,DSK,366,$3.06,true,USD,c8af5a2b-b87e-4ee2-88bd-f80670559875,1
Gloomlake Verge,Duskmourn: House of Horror,DSK,331,$9.88,false,USD,b414e4bd-a443-4ab3-bee4-1ad1d039aa1a,1
"Marvin, Murderous Mimic",Duskmourn: House of Horror,DSK,367,$6.22,false,USD,ed4f107a-ce90-464c-8be0-eb6c1db0f80f,1
The Wandering Rescuer,Duskmourn: House of Horror,DSK,351,$9.97,true,USD,42e3837d-0481-42cd-a7da-56b7e5cb1b7e,1
"Zimone, All-Questioning",Duskmourn: House of Horror,DSK,241,$0.98,false,USD,7722f4f7-fe38-4107-a715-7b27b6a4e341,1
Forest,Duskmourn: House of Horror,DSK,276,$0.36,true,USD,ba2a4cbb-f325-4178-80db-7090f5672414,2
Mountain,Duskmourn: House of Horror,DSK,275,$0.43,true,USD,8c8841b2-9b4e-4f65-8e30-1e9423cb8fbc,1
Twitching Doll,Duskmourn: House of Horror,DSK,384,$1.69,false,USD,0b47d003-bbdb-4c58-a648-3f0d7474f326,1
"Tyvar, the Pummeler",Duskmourn: House of Horror,DSK,353,$8.25,true,USD,1c6f8dd7-6ec8-44b5-8827-192f255c4211,1
Valgavoth's Lair,Duskmourn: House of Horror,DSK,327,$3.05,false,USD,7b5041f1-7cb8-4b60-94f6-436430bbece4,2
"Kianne, Corrupted Memory",Duskmourn: House of Horror Commander,DSC,2,$4.73,true,USD,d970c966-9a89-4c4c-ac73-8cf8fffe7721,2
The Master of Keys,Duskmourn: House of Horror Commander,DSC,4,$1.68,true,USD,3545341b-dacc-4ac8-976e-39754a62bbc3,1
"Zimone, Mystery Unraveler",Duskmourn: House of Horror Commander,DSC,8,$6.40,true,USD,30f23588-5064-48d9-a271-039df757f8d2,2
"Valgavoth, Harrower of Souls",Duskmourn: House of Horror Commander,DSC,6,$6.67,true,USD,8d7c1f6c-af45-4449-8cf8-e13830b3df8a,1
Twitching Doll,Duskmourn: House of Horror,DSK,417,$0.00,true,USD,23684053-024e-4e15-8aec-de3d4bc7f126,7
Valgavoth's Onslaught,Duskmourn: House of Horror,DSK,324,$2.12,true,USD,3518fbe6-5640-4aca-a2fd-e83c82d2e2fd,1
Charred Foyer // Warped Space,Duskmourn: House of Horror,DSK,340,$6.24,true,USD,c802966b-642c-4560-9c8e-e04adc9f41a4,1
Gloomlake Verge,Duskmourn: House of Horror,DSK,331,$13.66,true,USD,b414e4bd-a443-4ab3-bee4-1ad1d039aa1a,1
Leyline of the Void,Duskmourn: House of Horror,DSK,376,$1.01,true,USD,b30a559e-79f9-479e-8ef1-65fb91b9507d,1
Enduring Tenacity,Duskmourn: House of Horror,DSK,374,$5.19,true,USD,5d2d0033-1a73-4927-93a9-76d00ae7c6a8,1
Mirror Room // Fractured Realm,Duskmourn: House of Horror,DSK,337,$7.46,true,USD,f0c32b23-0586-4ac2-9304-d90b4636e7ae,1
Valgavoth's Lair,Duskmourn: House of Horror,DSK,271,$3.71,true,USD,65ff914e-3f3e-4b7a-b69d-73575b68fb8e,1
"Valgavoth, Terror Eater",Duskmourn: House of Horror,DSK,120,$20.47,true,USD,7740ff55-67bb-409e-90f7-2c2c8b8c770a,1
Overlord of the Hauntwoods,Duskmourn: House of Horror,DSK,383,$16.52,true,USD,3832d950-eb12-470f-9593-0f10d2a3a0f2,1
Cursed Recording,Duskmourn: House of Horror,DSK,131,$0.72,true,USD,d13a247c-c941-488a-b13b-bffb1f1f368a,1
The Mindskinner,Duskmourn: House of Horror,DSK,66,$1.62,true,USD,7f1bb4c5-99be-46cc-ad54-7affb5f0144c,1
Plains,Duskmourn: House of Horror,DSK,278,$0.50,true,USD,756abff9-9810-4e2d-b1d7-ec4e2d6d5187,1
Swamp,Duskmourn: House of Horror,DSK,281,$0.42,true,USD,3c51de66-a3ed-4ca9-befb-9813e96c4ade,1
Terramorphic Expanse,Duskmourn: House of Horror,DSK,269,$0.26,true,USD,b379c8f1-817c-4f18-8f58-45c40504433e,1
Island,Duskmourn: House of Horror,DSK,280,$0.50,true,USD,e1d10d9c-8771-4870-aebf-e767d0fada32,1
