Name,Edition,Edition code,Collector's number,Price,Foil,Currency,Scryfall ID,Quantity
Thornspire Verge,Duskmourn: House of Horror,DSK,270,$5.33,true,USD,7e1cdc03-6faa-4138-9a52-caafbe34fb59,1
Peer Past the Veil,Duskmourn: House of Horror,DSK,226,$0.85,true,USD,874eadb6-602e-47dc-8094-82e37ac89c94,1
Doomsday Excruciator,Duskmourn: House of Horror,DSK,94,$3.98,true,USD,542c89b6-48c6-4fcb-8a4c-b5ed2fa1d384,1
"Marvin, Murderous Mimic",Duskmourn: House of Horror,DSK,367,$11.02,true,USD,ed4f107a-ce90-464c-8be0-eb6c1db0f80f,2
"Kona, Rescue Beastie",Duskmourn: House of Horror,DSK,358,$7.49,true,USD,bf256f95-d184-4ea9-9039-fc64f461d9b3,2
Doomsday Excruciator,Duskmourn: House of Horror,DSK,346,$15.77,true,USD,50f9cecb-0ff7-4837-a8c5-4af394834e2c,1
Ghost Vacuum,Duskmourn: House of Horror,DSK,326,$5.88,true,USD,abf254c0-7c3c-4b68-8b3e-4ae444baa886,1
The Tale of Tamiyo,Duskmourn: House of Horror,DSK,75,$0.93,false,USD,aaeba193-05d3-4c2d-a304-bbe7114c2eef,2
Leyline of the Void,Duskmourn: House of Horror,DSK,106,$0.63,false,USD,aeaa3aff-608d-4723-bb7c-8daedebe9f36,1
Hauntwoods Shrieker,Duskmourn: House of Horror,DSK,349,$4.98,false,USD,0c6148f7-01cb-4789-87a6-53d741f44ec2,2
Ghost Vacuum,Duskmourn: House of Horror,DSK,326,$1.15,false,USD,abf254c0-7c3c-4b68-8b3e-4ae444baa886,1
Dazzling Theater // Prop Room,Duskmourn: House of Horror,DSK,334,$2.25,false,USD,988219dd-1b39-4c46-a3e3-844ca38e6e26,1
Leyline of Mutation,Duskmourn: House of Horror,DSK,188,$1.33,false,USD,2359b670-41f0-4ec7-8db9-3f87f7577bc3,1
"Niko, Light of Hope",Duskmourn: House of Horror,DSK,224,$1.18,false,USD,91ad013f-de8d-4980-b4b6-c7f91ff495b1,1
The Swarmweaver,Duskmourn: House of Horror,DSK,363,$3.74,true,USD,f4542e4f-2fb7-4036-aefc-291f5c010ca8,1
The Mindskinner,Duskmourn: House of Horror,DSK,357,$2.86,true,USD,3130a342-3c98-4c69-975b-a958ccddfe37,1
Unholy Annex // Ritual Chamber,Duskmourn: House of Horror,DSK,339,$1.98,false,USD,681caa94-e95e-47f0-8305-eca0ed55cb5e,2
Unstoppable Slasher,Duskmourn: House of Horror,DSK,312,$3.74,false,USD,0a30a301-8e87-46e7-89aa-cd55b1a14420,1
Enduring Vitality,Duskmourn: House of Horror,DSK,381,$3.11,false,USD,400eaca3-d7ee-4334-bade-1b05f3591417,1
Leyline of the Void,Duskmourn: House of Horror,DSK,376,$0.62,false,USD,b30a559e-79f9-479e-8ef1-65fb91b9507d,1
Demonic Counsel,Duskmourn: House of Horror,DSK,310,$3.89,false,USD,fa9defeb-d28e-451e-9333-914394231fbb,1
"Winter, Misanthropic Guide",Duskmourn: House of Horror,DSK,365,$1.04,true,USD,7cf9f742-a662-46b3-84e1-1609177d0c8a,1
Dissection Tools,Duskmourn: House of Horror,DSK,385,$0.43,false,USD,0a376a56-7385-4d64-bbaa-952218531a76,1
Valgavoth's Onslaught,Duskmourn: House of Horror,DSK,324,$0.78,false,USD,3518fbe6-5640-4aca-a2fd-e83c82d2e2fd,1
Doomsday Excruciator,Duskmourn: House of Horror,DSK,346,$2.40,false,USD,50f9cecb-0ff7-4837-a8c5-4af394834e2c,2
"Victor, Valgavoth's Seneschal",Duskmourn: House of Horror,DSK,364,$1.54,true,USD,1db4440e-0107-434d-9d8e-77a11bc0245a,1
"Rip, Spawn Hunter",Duskmourn: House of Horror,DSK,362,$1.97,true,USD,1ce8da0e-7822-4e8b-b073-5d4edcb38c59,2
Roaring Furnace // Steaming Sauna,Duskmourn: House of Horror,DSK,343,$0.86,false,USD,fe8e3d06-ae97-4f92-a379-b54e183e2aa0,1
Overlord of the Balemurk,Duskmourn: House of Horror,DSK,377,$6.11,false,USD,6da8e15d-033e-41ab-9f95-656a5737bdac,1
"Nashi, Searcher in the Dark",Duskmourn: House of Horror,DSK,361,$2.81,true,USD,44aa4f0c-7b2b-44cc-a59f-95f276b25898,1
Cursed Recording,Duskmourn: House of Horror,DSK,315,$0.79,false,USD,5aacedd1-de6b-4485-891e-0283ef33f3d4,2
Floodfarm Verge,Duskmourn: House of Horror,DSK,330,$8.17,false,USD,025152a1-4fdf-4e4e-a792-c540dd43fccd,2
Grievous Wound,Duskmourn: House of Horror,DSK,375,$0.86,false,USD,b3222c21-8d81-487d-a0c4-2413b30a26ab,1
Marina Vendrell,Duskmourn: House of Horror,DSK,360,$4.00,true,USD,f6424845-7e9b-4514-93aa-1cf6c45f634c,1
Waltz of Rage,Duskmourn: House of Horror,DSK,318,$0.81,false,USD,dcecce11-59e3-4c95-bff9-b02d004c917b,1
Silent Hallcreeper,Duskmourn: House of Horror,DSK,345,$1.86,false,USD,a0ee370f-99d1-44bc-9952-29bcafbf7887,3
Reluctant Role Model,Duskmourn: House of Horror,DSK,303,$0.96,false,USD,1fcea7eb-3174-4549-a1de-8dda577cd0b9,1
"Zimone, All-Questioning",Duskmourn: House of Horror,DSK,366,$3.06,true,USD,c8af5a2b-b87e-4ee2-88bd-f80670559875,1
Balustrade Wurm,Duskmourn: House of Horror,DSK,319,$0.97,false,USD,d7944c86-c578-48fa-b222-7fce3f5d301d,1
Gloomlake Verge,Duskmourn: House of Horror,DSK,331,$9.88,false,USD,b414e4bd-a443-4ab3-bee4-1ad1d039aa1a,1
Enduring Curiosity,Duskmourn: House of Horror,DSK,371,$2.52,false,USD,ce740fb7-d2d1-451b-bfa0-27364b804161,1
"Marvin, Murderous Mimic",Duskmourn: House of Horror,DSK,367,$6.22,false,USD,ed4f107a-ce90-464c-8be0-eb6c1db0f80f,1
The Wandering Rescuer,Duskmourn: House of Horror,DSK,351,$9.97,true,USD,42e3837d-0481-42cd-a7da-56b7e5cb1b7e,1
Leyline of Transformation,Duskmourn: House of Horror,DSK,372,$2.02,false,USD,fd545d86-9a3e-4e4f-b0fe-9363a85b9290,2
Fear of Missing Out,Duskmourn: House of Horror,DSK,316,$3.71,false,USD,45b924a5-6533-4ca6-bd2e-32debdfb6c08,3
Grievous Wound,Duskmourn: House of Horror,DSK,102,$0.84,false,USD,6ed3dd5e-cd27-4b18-ad60-f5c4d9a811b9,1
"Zimone, All-Questioning",Duskmourn: House of Horror,DSK,241,$0.98,false,USD,7722f4f7-fe38-4107-a715-7b27b6a4e341,1
Overlord of the Mistmoors,Duskmourn: House of Horror,DSK,370,$6.05,false,USD,509735a5-2b41-4e52-9ab1-0e4a6fa41d1b,1
Forest,Duskmourn: House of Horror,DSK,276,$0.36,true,USD,ba2a4cbb-f325-4178-80db-7090f5672414,2
Mountain,Duskmourn: House of Horror,DSK,275,$0.43,true,USD,8c8841b2-9b4e-4f65-8e30-1e9423cb8fbc,1
